identifiant,Arrondissement,Regime_particulier,Duree,Mois,Latitude,Longitude
3210,13.0,Livraison_BUS,1140.0,8.0,48.8369632816,2.34941389
3232,13.0,Stationnement_genant,1440.0,7.0,48.8215395201,2.37281426625
3271,5.0,Arret_vigipirate_non_perennise,1440.0,8.0,48.8484963453,2.34436146098
3280,5.0,Arret_vigipirate_perennise,1440.0,8.0,48.8472007904,2.34461920102
3277,5.0,Arret_genant_divers,1440.0,8.0,48.8402284901,2.33680230973
3309,5.0,Arret_genant_divers,1440.0,8.0,48.8494578749,2.35353629244
3313,5.0,Arret_genant_divers,1440.0,8.0,48.8494881598,2.3525744941
3301,6.0,Stationnement_genant,1440.0,8.0,48.8434436527,2.33130107834
3380,13.0,Stationnement_simple,1440.0,7.0,48.8285183717,2.35665087925
3423,13.0,Stationnement_genant,1440.0,8.0,48.8333736154,2.34599408506
3490,11.0,Stationnement_simple,1440.0,7.0,48.8666087185,2.36857198808
3493,11.0,Stationnement_genant,1440.0,8.0,48.8667543702,2.36703996047
3450,5.0,Arret_genant_divers,1440.0,8.0,48.8506508275,2.34612077905
3474,5.0,Stationnement_genant,1440.0,8.0,48.848095749,2.34602870664
6784,20.0,Arret_vigipirate_perennise,1440.0,7.0,48.8729292477,2.38942555878
6862,18.0,Stationnement_genant,1440.0,8.0,48.8836500373,2.33834175476
6938,20.0,Stationnement_genant,1440.0,8.0,48.856048892,2.40254273122
6983,11.0,Stationnement_genant,1440.0,7.0,48.8660332165,2.37437328748
6985,19.0,Stationnement_simple,1440.0,8.0,48.8865286481,2.39442890707
6962,20.0,Arret_vigipirate_perennise,1440.0,7.0,48.8666175032,2.38944472968
7001,11.0,Stationnement_genant,1440.0,7.0,48.866123611,2.37112552634
7013,5.0,Stationnement_genant,1440.0,8.0,48.8501793743,2.35518563539
7074,15.0,Stationnement_simple,1440.0,8.0,48.8437202543,2.30654286461
7106,12.0,Stationnement_genant,1440.0,8.0,48.8458383445,2.40415022966
7116,4.0,Stationnement_genant,1440.0,8.0,48.8557175972,2.36282900381
7093,18.0,Stationnement_genant,1440.0,8.0,48.8942923685,2.33295660186
7151,20.0,Stationnement_genant,1440.0,7.0,48.8536108935,2.39901963762
