identifiant	Regime_prioritaire	Regime_particulier	Arrondissement	Zone_Residentielle	Tarification	Type_de_voie	Nom_de_la_voie	Parite	Longueur	Longueur_calculee	Signalisation_horizontale	Signalisation_verticale	Conformite_signalisation	Plage_horaire_1-Debut	Plage_horaire_1-Fin	Plage_horaire_2-Debut	Plage_horaire_2-Fin	Date_du_releve	Derniere_date_edition	Code_Voie_Ville_de_Paris	Numero_Sequentiel_Tronçon_Voie	Zone_ASP	Numero_Section_Territoriale_de_Voirie	geo_point_2d
3210	LIVRAISON_BUS	Livraison_BUS	13	13H	2.40			Impair	55.78	55.78	Absente	Avec_panonceau	Conforme	19:30	07:30	09:30	16:30	2020-08-31	2017-08-07	7710	1750615033	13Z1	8	48.8369632816,2.34941389
3232	INTERDIT	Stationnement_genant	13	13N	2.40			Impair	14.20	14.20	Absente	Absente	SV_Non-conforme					2020-07-21	2020-08-13	1238	1750595615	13Z6	8	48.8215395201,2.37281426625
3271	INTERDIT	Arret_vigipirate_non_perennise	5	5J	4.00			Impair	33.04	33.04	Absente	Avec_panonceau	Conforme					2020-08-31	2017-08-08	8871	1750611765	05Z1	2	48.8484963453,2.34436146098
3280	INTERDIT	Arret_vigipirate_perennise	5	5J	4.00			Pair	95.54	95.54	Presente	Avec_panonceau	Conforme					2020-08-31	2017-10-26	2483	750611954	05Z1	2	48.8472007904,2.34461920102
3277	INTERDIT	Arret_genant_divers	5	6G	4.00			Inconnu	37.58	37.58	Presente	Avec_panonceau	Conforme					2020-08-31	2017-11-22	6805	1750614104	05Z3	2	48.8402284901,2.33680230973
3309	INTERDIT	Arret_genant_divers	5	5J	4.00			Impair	11.67	11.67	Absente	Avec_panonceau	Conforme					2020-08-31	2017-08-08	8845	1750610980	05Z2	2	48.8494578749,2.35353629244
3313	INTERDIT	Arret_genant_divers	5	5J	4.00			Impair	10.50	10.50	Absente	Avec_panonceau	Conforme					2020-08-31	2017-08-08	8845	1750610958	05Z2	2	48.8494881598,2.3525744941
3301	INTERDIT	Stationnement_genant	6	6G	4.00			Impair	11.09	11.09	Presente	Absente	SV_Non-conforme					2020-08-31	2017-08-08	6779	1750613131	06Z3	2	48.8434436527,2.33130107834
3380	INTERDIT	Stationnement_simple	13	13L	2.40			Impair	4.83	4.83	Presente	Absente	Conforme					2020-07-09	2020-07-29	4682	1750617407	13Z3	8	48.8285183717,2.35665087925
3423	INTERDIT	Stationnement_genant	13	13H	2.40			Impair	0.02	0.02	Absente	Absente	SV_Non-conforme					2020-08-31	2017-08-17	9138	1750616358	13Z1	8	48.8333736154,2.34599408506
3490	INTERDIT	Stationnement_simple	11	11G	4.00			Impair	16.59	16.59	Presente	Absente	Conforme					2020-07-24	2020-08-14	4953	1750604664	11Z1	7	48.8666087185,2.36857198808
3493	INTERDIT	Stationnement_genant	11	11G	4.00			Inconnu	23.68	23.68	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-16	8146	1750604546	11Z1	7	48.8667543702,2.36703996047
3450	INTERDIT	Arret_genant_divers	5	5J	4.00			Impair	57.18	57.18	Presente	Avec_panonceau	Conforme					2020-08-31	2017-08-17	8845	1750610560	05Z1	2	48.8506508275,2.34612077905
3474	INTERDIT	Stationnement_genant	5	5J	4.00			Impair	104.85	104.85	Absente	Absente	SV_Non-conforme					2020-08-31	2017-08-17	1895	1750611666	05Z1	2	48.848095749,2.34602870664
6784	INTERDIT	Arret_vigipirate_perennise	20	20E	2.40			Pair	8.12	8.12	Absente	Avec_panonceau	Conforme					2020-07-28	2020-08-14	5964	750602534	20Z1	7	48.8729292477,2.38942555878
6862	INTERDIT	Stationnement_genant	18	18F	2.40			Pair	56.53	56.53	Absente	Absente	SV_Non-conforme					2020-08-31	2017-10-24	7366	750599396	18Z6	5	48.8836500373,2.33834175476
6938	INTERDIT	Stationnement_genant	20	20G	2.40			Pair	13.62	13.62	Absente	Absente	SV_Non-conforme					2020-08-31	2017-10-25	9791	750608659	20Z4	7	48.856048892,2.40254273122
6983	INTERDIT	Stationnement_genant	11	11E	4.00			Pair	165.39	165.39	Absente	Absente	SV_Non-conforme					2020-07-25	2020-08-14	3172	750605077	11Z1	7	48.8660332165,2.37437328748
6985	INTERDIT	Stationnement_simple	19	19K	2.40			Pair	9.75	9.75	Presente	Absente	Conforme					2020-08-31	2017-10-26	8573	750598538	19Z3	6	48.8865286481,2.39442890707
6962	INTERDIT	Arret_vigipirate_perennise	20	20F	2.40			Impair	26.13	26.13	Presente	Avec_panonceau	Conforme					2020-07-30	2020-08-14	263	1750604749	20Z1	7	48.8666175032,2.38944472968
7001	INTERDIT	Stationnement_genant	11	11E	4.00			Inconnu	25.88	25.88	Absente	Absente	SV_Non-conforme					2020-07-25	2020-08-14	9448	750604841	11Z1	7	48.866123611,2.37112552634
7013	INTERDIT	Stationnement_genant	5	5G	4.00			Inconnu	31.03	31.03	Absente	Absente	SV_Non-conforme					2020-08-31	2017-10-26	9369	1750610786	05Z2	2	48.8501793743,2.35518563539
7074	INTERDIT	Stationnement_simple	15	15H	2.40			Impair	13.87	13.87	Presente	Absente	Conforme					2020-08-31	2017-10-27	5391	1750612995	15Z4	3	48.8437202543,2.30654286461
7106	INTERDIT	Stationnement_genant	12	12R	2.40			Impair	76.10	76.10	Absente	Absente	SV_Non-conforme					2020-08-31	2017-11-16	2624	1750612370	12ZB	8	48.8458383445,2.40415022966
7116	INTERDIT	Stationnement_genant	4	4E	4.00			Impair	19.47	19.47	Absente	Avec_panonceau	Conforme					2020-08-31	2017-10-30	4745	1750608765	04Z3	1	48.8557175972,2.36282900381
7093	INTERDIT	Stationnement_genant	18	18P	2.40			Pair	18.03	18.03	Absente	Absente	SV_Non-conforme					2020-08-31	2017-10-30	1727	750597024	18Z7	5	48.8942923685,2.33295660186
7151	INTERDIT	Stationnement_genant	20	20G	2.40			Impair	76.41	76.41	Absente	Avec_panonceau	Conforme					2020-07-26	2020-08-17	9791	1750609480	20Z4	7	48.8536108935,2.39901963762
7153	INTERDIT	Stationnement_genant	20	20G	2.40			Inconnu	27.82	27.82	Absente	Absente	SV_Non-conforme					2020-08-31	2017-10-31	9791	750609246	20Z4	7	48.8542935452,2.40027426951
7325	INTERDIT	Stationnement_genant	20	20G	2.40			Impair	25.64	25.64	Absente	Absente	SV_Non-conforme					2020-08-31	2017-11-03	1396	1750609276	20Z4	7	48.8546882901,2.39924340249
7327	INTERDIT	Stationnement_genant	20	20L	2.40			Pair	2.43	2.43	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-03	8699	750606738	20Z5	7	48.8616404396,2.40172348998
7306	INTERDIT	Stationnement_genant	20	20G	2.40			Impair	52.40	52.40	Absente	Absente	SV_Non-conforme					2020-07-26	2020-08-17	587	1750610215	20Z4	7	48.8516529113,2.40005900971
7312	INTERDIT	Stationnement_genant	20	20H	2.40			Pair	12.97	12.97	Absente	Absente	SV_Non-conforme					2020-08-31	2017-11-03	587	750594990	20Z6	7	48.8518646097,2.40162466904
7329	INTERDIT	Arret_vigipirate_perennise	5	5E	4.00			Pair	4.94	4.94	Absente	Absente	SV_Non-conforme					2020-08-31	2017-11-03	7425	750613739	05Z3	2	48.8419627141,2.34037591883
7359	INTERDIT	Stationnement_simple	19	19F	2.40			Pair	23.44	23.44	Presente	Absente	Conforme					2020-08-31	2020-01-07	3673	750599135	19Z1	6	48.8856664708,2.37089092944
7460	INTERDIT	Arret_simple	19	19P	2.40			Impair	85.80	85.80	Presente	Absente	Conforme					2020-08-31	2017-11-07	8573	1750600682	19Z8	6	48.8783723196,2.40271818931
7461	INTERDIT	Arret_simple	19	19P	2.40			Pair	87.01	87.01	Presente	Absente	Conforme					2020-08-31	2017-11-07	8573	750600643	19Z8	6	48.8784541553,2.40280284477
7448	INTERDIT	Stationnement_simple	7	7L	4.00			Inconnu	11.67	11.67	Presente	Absente	Conforme					2020-08-07	2020-08-21	8055	750609202	07Z3	3	48.8545393464,2.32601082262
7432	INTERDIT	Stationnement_genant	7	7L	4.00			Impair	64.47	64.47	Absente	Absente	SV_Non-conforme					2020-08-07	2020-08-21	6378	1750608427	07Z3	3	48.8568229936,2.32802865049
7443	INTERDIT	Stationnement_genant	19	19N	2.40			Pair	4.29	4.29	Absente	Absente	SV_Non-conforme					2020-08-31	2017-11-07	1073	750600569	19Z8	6	48.878691598,2.40127691314
7436	INTERDIT	Stationnement_genant	20	20E	2.40			Impair	213.02	213.02	Absente	Avec_panonceau	Conforme					2020-07-27	2020-08-14	7352	1750602953	20Z1	7	48.8726343785,2.38411064092
7465	INTERDIT	Stationnement_genant	19	19P	2.40			Pair	149.85	149.85	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-07	8573	750600680	19Z8	6	48.8781672439,2.40457094808
7474	INTERDIT	Stationnement_genant	19	19P	2.40			Inconnu	60.89	60.89	Absente	Absente	SV_Non-conforme					2020-08-31	2017-11-07	213	750600404	19Z8	6	48.8794165722,2.40106874416
7475	INTERDIT	Stationnement_genant	12	12R	2.40			Pair	106.06	106.06	Absente	Absente	SV_Non-conforme					2020-08-31	2017-11-07	3902	750612422	12ZH	8	48.8459737227,2.4094392692
7492	INTERDIT	Arret_simple	12	12R	2.40			Inconnu	3.98	3.98	Presente	Absente	Conforme					2020-08-31	2017-11-08	8662	1750612774	12ZH	8	48.8444198014,2.41042539035
7508	INTERDIT	Arret_vigipirate_perennise	19	19F	2.40			Impair	14.97	14.97	Presente	Absente	SV_Non-conforme					2020-08-24	2020-08-31	6820	1750597693	19Z2	6	48.8901549558,2.38213447468
7555	INTERDIT	Arret_genant_divers	19	19H	2.40			Pair	100.76	100.76	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-08	4400	750599212	19Z4	6	48.8845827511,2.37472252181
7556	INTERDIT	Arret_genant_divers	19	19H	2.40			Inconnu	93.58	93.58	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-08	4400	1750599212	19Z4	6	48.8845515146,2.37458435871
7520	INTERDIT	Stationnement_genant	16	16M	2.40			Impair	10.13	10.13	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-08	8721	1750607386	16Z3	4	48.8606288179,2.26688456906
7551	INTERDIT	Stationnement_genant	14	14K	2.40			Impair	17.86	17.86	Absente	Absente	SV_Non-conforme					2020-08-01	2020-08-20	2817	1750617832	14Z1B	2	48.8273303843,2.31456686426
7594	INTERDIT	Stationnement_simple	9	9G	4.00			Pair	15.15	15.15	Presente	Absente	Conforme					2020-08-31	2017-11-09	1940	750603146	4	1	48.8714398204,2.33399054882
7592	INTERDIT	Stationnement_genant	13	13E	2.40			Impair	7.29	7.29	Absente	Absente	SV_Non-conforme					2020-07-23	2020-08-13	7055	1750619064	13Z5	8	48.8177738933,2.35757666625
7652	INTERDIT	Arret_genant_divers	13	13P	2.40			Impair	97.43	97.43	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-15	Y962	1750620066	13Z6	8	48.8253322668,2.38115026515
7683	INTERDIT	Arret_Pompiers	16	16X	2.40			Pair	3.83	3.83	Absente	Avec_panonceau	Non_conforme					2020-08-11	2020-08-20	6578	750612736	16Z5	4	48.8449001684,2.25721785878
7676	INTERDIT	Arret_simple	17	17P	2.40			Pair	31.50	31.50	Absente	Sans_panonceau	Conforme					2020-08-25	2020-09-03	2016	750597750	17ZB	5	48.8903674589,2.30718237816
7679	INTERDIT	Stationnement_genant	17	17P	2.40			Impair	9.68	9.68	Absente	Absente	SV_Non-conforme					2020-08-26	2020-09-01	918	1750597626	17ZB	5	48.8904664132,2.30583524929
7667	INTERDIT	Arret_simple	12	12F	2.40			Inconnu	131.77	131.77	Absente	Sans_panonceau	Conforme					2020-08-31	2017-11-13	876	750617113	12ZD	8	48.829730999,2.38673935692
7687	INTERDIT	Arret_vigipirate_perennise	20	20M	2.40			Pair	13.54	13.54	Presente	Avec_panonceau	Conforme					2020-07-28	2020-08-14	8218	750602642	20Z2	7	48.872544934,2.39256869389
7712	INTERDIT	Stationnement_simple	20	20L	2.40			Inconnu	17.33	17.33	Presente	Absente	Conforme					2020-08-31	2017-11-13	7177	750605562	20Z5	7	48.8645299761,2.40437814616
7713	INTERDIT	Stationnement_simple	20	20L	2.40			Inconnu	13.15	13.15	Presente	Absente	Conforme					2020-08-31	2017-11-13	812	750605371	20Z3	7	48.8646107675,2.40441165912
896803D20100930083518	INTERDIT	Stationnement_genant	12	12P	2.40	RUE	SIBUET	Pair	41.14	41.14	Absente	Absente	SV_Non-conforme					2020-08-31	2017-05-31	8593	750613269	12ZF	8	48.8431009891,2.40233173866
7776	INTERDIT	Arret_Pompiers	17	17P	2.40			Pair	8.20	8.20	Absente	Avec_panonceau	Non_conforme					2020-08-31	2017-11-15	6015	750619383	17ZB	5	48.891839366,2.30360074223
